### SHEET: SSOC2024-ISCO08 (1133 rows)
259	Teaching professional n.e.c. | 23690 | 2359 |  | Teaching professionals not elsewhere classified
260	Accountant (excluding tax accountant) | 24111 | 2411 |  | Accountants
261	Auditor (accounting) | 24112 | 2411 |  | Accountants
262	Tax accountant | 24113 | 2411 |  | Accountants
263	Financial/Investment adviser | 24121 | 2412 |  | Financial and investment advisers
264	Business valuer | 24122 | 2412 |  | Financial and investment advisers
265	Financial analyst | 24131 | 2413 |  | Financial analysts
266	Compliance officer/Risk analyst (financial) | 24132 | 2413 |  | Financial analysts
267	Fund/Portfolio manager | 24133 | 2413 |  | Financial analysts
268	Treasury manager | 24134 | 2413 |  | Financial analysts
269	Financial product structurer | 24135 | 2413 |  | Financial analysts
270	Energy portfolio manager | 24136 | 2413 |  | Financial analysts
271	Financial analyst and related professional n.e.c. | 24139 | 2413 |  | Financial analysts
272	Securities/Finance dealer | 24141 | 3311 |  | Securities and finance dealers and brokers
273	Foreign exchange dealer | 24142 | 3311 |  | Securities and finance dealers and brokers
274	Financial derivatives dealer | 24143 | 3311 |  | Securities and finance dealers and brokers
275	Securities/Finance dealer n.e.c. | 24149 | 3311 |  | Securities and finance dealers and brokers
276	Securities/Finance broker | 24151 | 3311 |  | Securities and finance dealers and brokers
277	Foreign exchange broker | 24152 | 3311 |  | Securities and finance dealers and brokers
278	Financial derivatives broker | 24153 | 3311 |  | Securities and finance dealers and brokers
279	Commodities/Freight derivatives broker | 24154 | 3311 |  | Securities and finance dealers and brokers
280	Securities/Finance broker n.e.c. | 24159 | 3311 |  | Securities and finance dealers and brokers
281	Insurance underwriter | 24160 | 3321 |  | Insurance representatives
282	Management consultant | 24211 | 2421 |  | Management and organization analysts
283	Business consultant | 24212 | 2421 |  | Management and organization analysts
284	Business/Financial project management professional | 24213 | 2421 |  | Management and organization analysts
285	Sustainability project development/management professional | 24214 | 2133 | p | Environmental protection professionals
286	Sustainability project development/management professional | 24214 | 2421 | p | Management and organization analysts
287	Policy administration professional | 24221 | 2422 |  | Policy administration professionals
288	Risk analyst (non-financial) | 24222 | 2422 |  | Policy administration professionals
289	Human resource consultant (excluding executive search consultant) | 24231 | 2423 | p | Personnel and careers professionals
290	Human resource consultant (excluding executive search consultant) | 24231 | 2635 | p | Social work and counselling professionals
291	Executive search consultant | 24232 | 2423 |  | Personnel and careers professionals
292	Personnel/Human resource officer | 24233 | 2423 |  | Personnel and careers professionals
293	Industrial relations officer | 24234 | 2423 |  | Personnel and careers professionals
294	Training/Staff development professional | 24240 | 2424 |  | Training and staff development professionals
295	Intellectual property agent | 24251 | 3339 |  | Business services agents not elsewhere classified
296	Intellectual property examiner | 24252 | 3339 | p | Business services agents not elsewhere classified
297	Intellectual property examiner | 24252 | 2149 | p | Engineering professionals not elsewhere classified
298	Research officer (non-statistical) | 24291 | 2422 | p | Policy administration professionals
299	Research officer (non-statistical) | 24291 | 2421 | p | Management and organization analysts
300	Other administration professional n.e.c. | 24299 | 2422 | p | Policy administration professionals
301	Other administration professional n.e.c. | 24299 | 2421 | p | Management and organization analysts
302	Creative advertising professional | 24311 | 2431 |  | Advertising and marketing professionals
303	Market research professional | 24312 | 2431 |  | Advertising and marketing professionals
304	Marketing strategy/planning professional | 24313 | 2431 |  | Advertising and marketing professionals
305	Digital marketing professional | 24314 | 2431 |  | Advertising and marketing professionals
306	Revenue specialist | 24315 | 2431 |  | Advertising and marketing professionals
307	Public relations/Corporate communications professional | 24320 | 2432 |  | Public relations professionals
308	Technical sales professional | 24331 | 2433 |  | Technical and medical sales professionals (excluding ICT)
309	Medical/Pharmaceutical products sales professional | 24332 | 2433 |  | Technical and medical sales professionals (excluding ICT)
310	ICT sales and services professional | 24333 | 2434 |  | Information and communications technology sales professionals
311	Sales professional (institutional sales of financial products) | 24334 | 2433 |  | Technical and medical sales professionals (excluding ICT)
312	Specialised goods sales professional n.e.c. | 24339 | 3322 | p | Commercial sales representatives
